SMILES,chembl_pxr_pchembl
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(-c4noc(=O)[nH]4)c32)cc1,5.72
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(-c4noc(CO)n4)c32)cc1,5.46
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(C4CCNCC4)c32)cc1,5.18
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)cc1,7.38
CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1.[Na+],5.05
CC(C)(C)c1nc(-c2cc(Cl)cc(NS(=O)(=O)c3cc(F)ccc3F)c2F)c(-c2ccnc(N)n2)s1,7.09
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,7.06
CC(C)(C)c1nc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)no1,4.3
CC(C)(C)c1nc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nnc(C6CC6)o5)c4)(CC2)CC3)no1,5.22
CC(C)(C)c1noc(C23CCC(CN(C(=O)C45CC(F)(C4)C5)c4cccc(-c5nc(C6CC6)no5)c4)(CC2)CC3)n1,4.3
CC(C)(C1CCN(C(=O)c2cc(F)ccc2S(C)(=O)=O)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1,5.6
CC(C)(CCO)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,5.89
CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,5.1
CC(C)(O)CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.28
CC(C)(O)CCc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,5.44
CC(C)(O)CNC(=O)CC1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7
CC(C)(O)CNC(=O)CC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.76
CC(C)(O)CNC(=O)CC1CSc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.87
CC(C)(O)CNC(=O)CC1Cc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N(S(=O)(=O)c2ccc(F)cc2)C1,6.545
CC(C)(O)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.74
CC(C)(O)CNC(=O)C[C@@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.64
CC(C)(O)CNC(=O)C[C@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.54
CC(C)(O)CNC(=O)C[C@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.84
CC(C)(O)[C@H](F)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](C)(O)C3)c2)cc1,4.3
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@](O)(C(F)(F)F)C3)c2)cc1,4.3
CC(C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,8.1
CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2cccc(F)c2Cl)n1,5.52
CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2F)c(C(C)(C)c2c(Cl)cccc2Cl)n1,6.0
CC(C)(O)c1nc(-c2cccc3c2N(S(=O)(=O)c2ccc(OC(F)F)cc2)Cc2ccc(C(F)(F)F)nc2N3)no1,5.0
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,6.62
CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,5.28
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O,7.57
CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,6.0649999999999995
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,5.04
CC(C)C1CN(Cc2ccc3c(-c4cnn(C)c4)cc(C(N)=O)nc3c2)CCO1,4.54
CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.55
CC(C)CN(CC(C)C)c1ccc(-c2ccccc2C(=O)O)cc1NC(=O)Nc1ccccc1F,5.68
CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,5.52
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,5.23
CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,5.04
CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,5.39
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,5.949999999999999
CC(C)N(CCCCOCC(=O)O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,4.98
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.949999999999999
CC(C)O[C@H]1CC[C@H](C(=O)N2Cc3cccnc3Nc3ccc(N4CC5CCC4CO5)cc32)OC1,4.75
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,6.05
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@]12C,5.21
CC(C)[C@@H](NC(=O)CC(C)(C)O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,5.695
CC(C)[C@@H](NC(=O)CC1CC1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,6.3
CC(C)[C@@H](NC(=O)CCC(C)(C)O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,4.6
CC(C)[C@@H](NC(=O)C[C@@H](C)O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,5.11
CC(C)[C@@H](NC(=O)N[C@H]1CC[C@@H](O)C1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,4.72
CC(C)[C@@H](NC(=O)N[C@H]1CC[C@H](O)C1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,5.24
CC(C)[C@@H](NC(=O)[C@@H]1CCC[C@@H]1N)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,5.07
CC(C)[C@@H](NC(=O)[C@@H]1CCC[C@@H]1O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,5.85
CC(C)[C@H](C)CC[C@@H](C)[C@H]1CCC2=C3CC[C@H]4[C@H](C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.75
CC(C)[C@H]1CCCN1c1cc(-c2ccccc2O)nnc1N,6.85
CC(C)[C@H]1CCCN1c1cc(-c2ccco2)nnc1N,5.38
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,4.57
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,5.85
CC(C)c1cc(-c2ccc(C(F)(F)F)cc2CN2C(=O)O[C@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2C)c(Cl)cc1F,5.12
CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1CC2,4.82
CC(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(-c4noc(C(C)(C)O)n4)c32)cc1,5.62
CC(C)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,6.0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.625
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,5.44
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3c(C(=O)O)cccc3c2)cc1,5.51
CC(C)c1onc(C[S+]([O-])c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,6.02
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,5.08
CC(O)(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)C(F)(F)F,6.62
