SMILES,chembl_car_pchembl
Clc1ccc(-c2nc3ccccn3c2-c2nnc(Cc3ccc(Cl)c(Cl)c3)o2)cc1,7.64
Clc1ccc(-c2nc3ccccn3c2-c2nnc(Cc3ccc(Cl)c(Cl)c3)s2)cc1,6.4350000000000005
Clc1ccc(-c2nc3ncccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,6.04
Clc1ccc(-c2nc3occn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.39
Clc1ccc(-c2nc3occn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,5.89
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,7.23
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccccc3)nn2)cc1,8.15
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccccn3)nn2)cc1,8.0
Clc1ccc(-c2nc3sccn3c2-c2csc(Cc3ccc(Cl)c(Cl)c3)n2)cc1,6.915
Clc1ccc(-c2nc3sccn3c2-c2nc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,7.85
Clc1ccc(-c2nc3sccn3c2/C=N/CCc2ccc(Cl)c(Cl)c2)cc1,4.27
Clc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,7.215
Clc1ccc(-c2nc3sccn3c2CNC2Cc3ccccc3C2)cc1,6.34
Clc1ccc(-c2nc3sccn3c2CNCCc2c[nH]c3ccccc23)cc1,5.57
Clc1ccc(-c2nc3sccn3c2CNCCc2ccc(Br)cc2)cc1,5.5
Clc1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,6.4
Clc1ccc(-c2nc3sccn3c2CNCCc2cccc(Cl)c2)cc1,5.55
Clc1ccc(-c2nc3sccn3c2CNCCc2ccccc2)cc1,6.13
Clc1ccc(-c2nc3sccn3c2CNCc2ccccc2)cc1,5.04
Clc1ccc(-c2nc3sccn3c2CNc2ccc3ccccc3c2)cc1,4.2
Clc1ccc(-c2nc3sccn3c2COCCc2ccc(Cl)c(Cl)c2)cc1,6.72
Clc1ccc(CCNCc2c(-c3ccc(Br)cc3)nc3sccn23)cc1Cl,6.25
Clc1ccc(CCNCc2c(-c3ccc(Cl)cc3)nc3sccn23)cc1,6.19
Clc1ccc(CCNCc2c(-c3ccc4ccccc4c3)nc3sccn23)cc1Cl,5.82
Clc1ccc(CCNCc2c(-c3ccccc3)nc3sccn23)cc1Cl,6.62
Clc1ccc(CO/N=C/c2c(-c3ccc(Br)cc3)nc3sccn23)cc1Cl,6.32
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)c(Cl)c1,5.82
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,6.0
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1Cl,6.43
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3sccn23)cc1Cl,6.42
Clc1ccc(CO/N=C/c2c(-c3cccc4ccccc34)nc3sccn23)cc1Cl,6.03
Clc1ccc(CO/N=C/c2c(-c3ccccc3)nc3sccn23)cc1Cl,6.24
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)c(Cl)c4)nc4ccccn34)nn2)cc1Cl,8.7
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)c(Cl)c4)nc4sccn34)nn2)cc1Cl,7.8
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,8.0
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1,8.15
Clc1cccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)c1,5.96
Clc1cccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)c1,6.03
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,7.0
Clc1ccccc1CO/N=C/c1c(-c2ccc3ccccc3c2)nc2occn12,5.96
FC(F)(F)c1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,7.4350000000000005
FC(F)(F)c1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.06
FC(F)(F)c1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,5.68
FC(F)(F)c1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,6.33
Fc1c(F)c(F)c(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)c(F)c1F,5.77
Fc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,9.0
Fc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.17
Fc1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,6.82
Fc1ccc(CCNCc2c(-c3ccc(Cl)cc3)nc3sccn23)cc1,5.68
N#Cc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,5.47
N#Cc1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,5.82
N#Cc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,7.07
NC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,6.0600000000000005
Nc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,8.22
Nc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,6.3
O/N=C/c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,7.475
O=C(NCCc1ccc(Cl)c(Cl)c1)c1c(-c2ccc(Cl)cc2)nc2sccn12,5.96
O=C(Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2)OC1CC1,7.66
O=C(Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2)OC1CCC1,7.7
O=C(Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2)OC1CCCC1,7.86
O=C(Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2)OC1CCCCC1,7.93
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.64
O=Cc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,8.1
O=[N+]([O-])c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,7.8100000000000005
OCc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,9.0
Oc1ccc(CCNCc2c(-c3ccc(Cl)cc3)nc3sccn23)cc1,5.0
Sc1nc(-c2ccc(Br)cc2)nc2ccccc12,4.27
c1ccc(CCNCc2c(-c3ccc4ccccc4c3)nc3sccn23)cc1,5.72
c1ccc2c(c1)CC(NCc1c(-c3ccc4ccccc4c3)nc3occn13)C2,6.18
c1ccc2c(c1)CC(NCc1c(-c3ccc4ccccc4c3)nc3sccn13)C2,5.8
