SMILES,chembl_ahr_pchembl
Cl.Nc1cccc(Nc2ncnc3ccccc23)c1,5.45
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,5.0
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,5.89
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,5.3
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,4.0
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,4.8
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,4.1
Clc1cc(Cl)c2c(c1)Oc1cc(Cl)c(Cl)cc1O2,6.1
Clc1cc(Cl)c2c(c1)oc1c(Cl)c(Cl)c(Cl)cc12,6.7
Clc1cc(Cl)c2c(c1)oc1c(Cl)cc(Cl)c(Cl)c12,4.7
Clc1cc(Cl)c2c(c1)oc1c(Cl)cccc12,5.36
Clc1cc(Cl)c2c(c1)oc1cc(Cl)c(Cl)c(Cl)c12,6.4
Clc1cc(Cl)c2c(c1)oc1ccc(Cl)cc12,4.07
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,4.89
Clc1cc(Cl)c2oc3c(Cl)cc(Cl)c(Cl)c3c2c1,5.51
Clc1cc(Cl)c2oc3cc(Cl)c(Cl)cc3c2c1,6.66
Clc1cc2c(cc1Br)Oc1cc(Br)c(Cl)cc1O2,9.35
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,6.55
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)cc(Cl)c1O2,5.96
Clc1cc2c(cc1Cl)Oc1c(Cl)cccc1O2,6.66
Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,7.1
Clc1cc2c(cc1Cl)Oc1c(ccc(Cl)c1Cl)O2,6.8
Clc1cc2c(cc1Cl)Oc1cc(Br)c(Br)cc1O2,8.83
Clc1cc2c(cc1Cl)Oc1cc(Br)c(Cl)cc1O2,7.94
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,8.025
Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)cc32)c(Cl)c1Cl,7.33
Clc1cc2c(oc3c(Cl)cc(Cl)c(Cl)c32)c(Cl)c1Cl,5.08
Clc1cc2c(oc3c(Cl)cccc32)c(Cl)c1Cl,6.46
Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,6.57
Clc1cc2c(oc3ccccc32)c(Cl)c1Cl,4.72
Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl,6.64
Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,7.82
Clc1cc2oc3c(Cl)c(Cl)cc(Cl)c3c2cc1Cl,6.7
Clc1cc2oc3c(Cl)cc(Cl)c(Cl)c3c2cc1Cl,5.89
Clc1cc2oc3c(Cl)cccc3c2c(Cl)c1Cl,6.46
Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2cc1Cl,7.13
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,7.39
Clc1cc2oc3ccccc3c2cc1Cl,5.33
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,4.85
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1,4.55
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,6.89
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,5.39
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,5.15
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,5.04
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,6.15
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,5.37
Clc1ccc(-c2nc3ccc(Br)cn3n2)cc1,9.08
Clc1ccc(/C=C\c2cc(Cl)cc(Cl)c2)cc1,7.92
Clc1ccc(Nc2nc(-c3cccs3)cs2)nc1,5.8
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,5.19
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)cc1O2,7.15
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,5.5
Clc1ccc2c(c1)oc1c(Cl)c(Cl)c(Cl)cc12,7.6
Clc1ccc2c(c1)oc1cc(Cl)c(Cl)c(Cl)c12,6.66
Clc1ccc2c(c1)oc1ccccc12,4.38
Clc1ccc2c(oc3c(Cl)cc(Cl)c(Cl)c32)c1Cl,7.17
Clc1ccc2nc(-c3ccc(Br)cc3)nn2c1,6.81
Clc1ccc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2c1,6.92
Clc1ccc2oc3c(Cl)c(Cl)c(Cl)cc3c2c1,6.7
Clc1ccc2oc3c(Cl)c(Cl)ccc3c2c1,6.35
Clc1ccc2oc3c(Cl)cc(Cl)c(Cl)c3c2c1,5.0
Clc1ccc2oc3cc(Cl)c(Cl)cc3c2c1,6.0
Clc1cccc2c1Oc1ccccc1O2,4.0
Cn1c(=O)c(C(=O)Nc2ccc(F)cc2)cc2ccccc21,9.67
