SMILES,chembl_cyp3a4_pchembl
C/C(=N\Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1)c1cccc([N+](=O)[O-])c1,4.45
C/C(=N\O)c1ccc2[nH]ccc2c1,4.65
C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,4.5
C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccccc2)nc1C,4.6
C/C(=N\OC(=O)NC1CCCCC1)c1sc(-c2ccccc2)nc1C,4.8
C/C(=N\OCc1cccc(Cl)c1Cl)c1ccc(CC#N)s1,4.8
C/C(=N\n1nnnc1Nc1ccccc1)c1ccc(N)cc1,4.65
C/C(CC(=O)NC1CCCC1)=N\NC(=O)Cc1cccs1,4.9
C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,4.8
C/C(CC(=O)NCc1ccco1)=N\NC(=O)Cc1ccc(Cl)cc1,4.8
C/C(CC(=O)NCc1ccco1)=N\NC(=O)Cc1ccccc1,4.75
C/C(CC(=O)Nc1cc(Cl)ccc1Cl)=N\NC(N)=S,4.85
C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)c1ccccc1N,5.45
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C,5.4
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/OC[C@@H](O)COCc1ccco1,5.5
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/OC[C@@H](O)[C@H]1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1O,5.4
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21,5.5
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,5.4
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,5.45
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)c1cn([C@H]2COC[C@H]2O)nn1,5.4
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C,5.5
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\OC[C@@H](O)COCc1ccco1,5.4
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21,5.4
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,5.5
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cc(-c2c(C)cc(C)cc2C)no1,5.4
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,5.35
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C,5.5
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\OC[C@@H](O)COCc1ccco1,5.4
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21,5.4
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,5.4
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cc(-c2c(C)cc(C)cc2C)no1,5.3
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cn([C@@H]2COC[C@@H]2O)nn1,5.5
C/C(CCN1CCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,5.5
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C,5.4
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](O)COCc1ccco1,5.5
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](O)[C@@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,5.4
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21,5.4
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,5.4
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)c1cc(-c2c(C)cc(C)cc2C)no1,5.4
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,5.45
C/C(CCc1ccc2c(c1)OCO2)=N\NC1=NC(=O)CC(C(=O)Nc2ccccc2)S1,5.65
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(/F)CN,5.75
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(\F)CN,4.89
